starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 25 13:13:34 2019	1566738814	0	55	55	55
Sun Aug 25 13:13:34 2019	1566738814	0	55	55	55
Sun Aug 25 13:13:34 2019	1566738814	0	57	57	57
Sun Aug 25 13:13:34 2019	1566738814	0	57	57	57
Sun Aug 25 13:13:35 2019	1566738815	0	57	57	57
Sun Aug 25 13:13:34 2019	1566738814	0	57	57	57
Sun Aug 25 13:13:35 2019	1566738815	0	58	58	58
Sun Aug 25 13:13:35 2019	1566738815	0	58	58	58
Sun Aug 25 13:13:34 2019	1566738814	0	58	58	58
Sun Aug 25 13:13:35 2019	1566738815	0	59	59	58
Sun Aug 25 13:13:34 2019	1566738814	0	59	59	58
Sun Aug 25 13:13:36 2019	1566738816	0	59	59	59
Sun Aug 25 13:13:37 2019	1566738817	0	59	59	59
Sun Aug 25 13:13:36 2019	1566738816	0	59	59	59
Sun Aug 25 13:13:37 2019	1566738817	0	59	59	59
Sun Aug 25 13:13:34 2019	1566738814	0	59	59	59
Sun Aug 25 13:13:36 2019	1566738816	0	59	60	59
Sun Aug 25 13:13:35 2019	1566738815	0	60	60	59
Sun Aug 25 13:13:36 2019	1566738816	0	60	60	60
Sun Aug 25 13:13:36 2019	1566738816	0	60	60	60
Sun Aug 25 13:13:34 2019	1566738814	0	60	60	60
Sun Aug 25 13:13:36 2019	1566738816	0	60	60	60
Sun Aug 25 13:13:37 2019	1566738817	0	60	60	60
Sun Aug 25 13:13:35 2019	1566738815	0	60	60	60
Sun Aug 25 13:13:37 2019	1566738817	0	61	61	61
Sun Aug 25 13:13:36 2019	1566738816	0	61	61	61
Sun Aug 25 13:13:35 2019	1566738815	0	61	61	61
Sun Aug 25 13:13:35 2019	1566738815	0	61	61	61
Sun Aug 25 13:13:39 2019	1566738819	0	61	61	61
Sun Aug 25 13:13:37 2019	1566738817	0	61	61	61
Sun Aug 25 13:13:38 2019	1566738818	0	61	61	61
Sun Aug 25 13:13:39 2019	1566738819	0	62	62	62
Sun Aug 25 13:13:37 2019	1566738817	0	62	62	62
Sun Aug 25 13:13:35 2019	1566738815	0	62	62	62
Sun Aug 25 13:13:34 2019	1566738814	0	62	62	62
Sun Aug 25 13:13:37 2019	1566738817	0	62	62	62
Sun Aug 25 13:13:35 2019	1566738815	0	62	62	62
Sun Aug 25 13:13:36 2019	1566738816	0	62	62	62
Sun Aug 25 13:13:38 2019	1566738818	0	62	62	62
Sun Aug 25 13:13:34 2019	1566738814	0	62	62	62
Sun Aug 25 13:13:40 2019	1566738820	0	62	62	62
Sun Aug 25 13:13:38 2019	1566738818	0	63	63	62
Sun Aug 25 13:13:35 2019	1566738815	0	63	63	63
Sun Aug 25 13:13:35 2019	1566738815	0	63	63	63
Sun Aug 25 13:13:38 2019	1566738818	0	63	63	63
Sun Aug 25 13:13:40 2019	1566738820	0	63	63	63
Sun Aug 25 13:13:36 2019	1566738816	0	63	63	63
Sun Aug 25 13:13:39 2019	1566738819	0	63	63	63
Sun Aug 25 13:13:38 2019	1566738818	0	63	63	63
Sun Aug 25 13:13:35 2019	1566738815	0	63	63	63
Sun Aug 25 13:13:38 2019	1566738818	0	63	63	63
Sun Aug 25 13:13:38 2019	1566738818	0	63	63	63
Sun Aug 25 13:13:39 2019	1566738819	0	63	63	63
Sun Aug 25 13:13:40 2019	1566738820	0	63	63	63
Sun Aug 25 13:13:37 2019	1566738817	0	64	64	63
Sun Aug 25 13:13:39 2019	1566738819	0	64	64	64
Sun Aug 25 13:13:38 2019	1566738818	0	64	64	64
Sun Aug 25 13:13:34 2019	1566738814	0	64	64	64
Sun Aug 25 13:13:37 2019	1566738817	0	64	64	64
Sun Aug 25 13:13:39 2019	1566738819	0	64	64	64
Sun Aug 25 13:13:37 2019	1566738817	0	64	64	64
Sun Aug 25 13:13:39 2019	1566738819	0	64	64	64
Sun Aug 25 13:13:34 2019	1566738814	0	64	64	64
Sun Aug 25 13:13:39 2019	1566738819	0	64	64	64
Sun Aug 25 13:13:39 2019	1566738819	0	64	64	64
Sun Aug 25 13:13:39 2019	1566738819	0	65	65	64
Sun Aug 25 13:13:38 2019	1566738818	0	65	65	65
Sun Aug 25 13:13:38 2019	1566738818	0	65	65	65
Sun Aug 25 13:13:38 2019	1566738818	0	65	65	65
Sun Aug 25 13:13:37 2019	1566738817	0	65	65	65
Sun Aug 25 13:13:39 2019	1566738819	0	65	65	65
Sun Aug 25 13:13:40 2019	1566738820	0	66	66	66
Sun Aug 25 13:13:39 2019	1566738819	0	66	66	66
Sun Aug 25 13:13:35 2019	1566738815	0	66	66	66
Sun Aug 25 13:13:35 2019	1566738815	0	66	66	66
Sun Aug 25 13:13:40 2019	1566738820	0	67	67	67
Sun Aug 25 13:13:38 2019	1566738818	0	67	67	67
Sun Aug 25 13:13:37 2019	1566738817	0	68	68	68
Sun Aug 25 13:13:37 2019	1566738817	0	69	69	69
Sun Aug 25 13:13:39 2019	1566738819	0	70	70	70
Sun Aug 25 13:13:36 2019	1566738816	0	72	72	72
Sun Aug 25 13:13:36 2019	1566738816	0	73	73	73
Sun Aug 25 13:13:38 2019	1566738818	0	73	73	73
Sun Aug 25 13:13:40 2019	1566738820	0	74	74	74
Sun Aug 25 13:13:38 2019	1566738818	0	76	76	76
Sun Aug 25 13:13:40 2019	1566738820	0	78	78	78
Sun Aug 25 13:13:36 2019	1566738816	0	78	78	78
Sun Aug 25 13:13:36 2019	1566738816	0	82	82	82
Sun Aug 25 13:13:36 2019	1566738816	0	82	82	82
Sun Aug 25 13:13:38 2019	1566738818	0	83	83	83
Sun Aug 25 13:13:35 2019	1566738815	0	84	84	84
Sun Aug 25 13:13:37 2019	1566738817	0	85	85	85
Sun Aug 25 13:13:37 2019	1566738817	0	87	87	87
Sun Aug 25 13:13:34 2019	1566738814	0	88	88	88
Sun Aug 25 13:13:36 2019	1566738816	0	90	90	89
Sun Aug 25 13:13:40 2019	1566738820	0	90	90	90
Sun Aug 25 13:13:39 2019	1566738819	0	90	90	90
Sun Aug 25 13:13:34 2019	1566738814	0	90	90	90
Sun Aug 25 13:13:39 2019	1566738819	0	90	90	90
Sun Aug 25 13:13:40 2019	1566738820	0	98	98	98
